start_station_name,end_station_name,trips,start_lat,start_lng,end_lat,end_lng
46 Ave & 5 St,Vernon Blvd & 50 Ave,3295,40.74731,-73.95451,40.74232744,-73.95411749
10 Ave & W 28 St,W 26 St & 8 Ave,3256,40.75066386,-74.00176802,40.74734825,-73.99723551
West St & Chambers St,12 Ave & W 40 St,3247,40.71754834,-74.01322069,40.76087502,-74.00277668
Vernon Blvd & 50 Ave,McGuinness Blvd & Eagle St,3242,40.74232744,-73.95411749,40.73555,-73.95284
West St & Liberty St,West St & Chambers St,3229,40.711444,-74.014847,40.71754834,-74.01322069
Central Park S & 6 Ave,Central Park North & Adam Clayton Powell Blvd,3227,40.76590936,-73.97634151,40.799484,-73.955613
Franklin St & Dupont St,Vernon Blvd & 50 Ave,3200,40.73564,-73.95866,40.74232744,-73.95411749
5 Ave & E 78 St,5 Ave & E 78 St,3180,40.77632142182271,-73.96427392959595,40.77632142182271,-73.96427392959595
West St & Liberty St,West St & Liberty St,3171,40.711444,-74.014847,40.711444,-74.014847
11 Ave & W 41 St,8 Ave & W 33 St,3165,40.76030096,-73.99884222,40.751551,-73.993934
Brooklyn Bridge Park - Pier 2,Brooklyn Bridge Park - Pier 2,3101,40.698458,-73.997178,40.698458,-73.997178
Canal St & Rutgers St,Henry St & Grand St,3098,40.71427487,-73.98990025,40.714211,-73.981095
Vernon Blvd & 50 Ave,Franklin St & Dupont St,3069,40.74232744,-73.95411749,40.73564,-73.95866
5 Ave & E 93 St,5 Ave & E 93 St,3017,40.7857851,-73.957481,40.7857851,-73.957481
Soissons Landing,Picnic Point,3003,40.69231660719192,-74.01486575603485,40.68512559515415,-74.02535319328308
9 Ave & W 22 St,W 21 St & 6 Ave,2997,40.7454973,-74.00197139,40.74173969,-73.99415556
W 84 St & Columbus Ave,Columbus Ave & W 72 St,2989,40.78499979,-73.97283406,40.7770575,-73.97898475
Broadway & Berry St,N 6 St & Bedford Ave,2980,40.71044554,-73.96525063,40.71745169,-73.95850939
Central Park S & 6 Ave,5 Ave & E 72 St,2971,40.76590936,-73.97634151,40.77282817,-73.96685276
Henry St & Grand St,Canal St & Rutgers St,2958,40.714211,-73.981095,40.71427487,-73.98990025
West St & Liberty St,Little West St & 1 Pl,2941,40.711444,-74.014847,40.70569254,-74.01677685
Center Blvd & 51 Ave,Vernon Blvd & 50 Ave,2935,40.74336608027021,-73.95960688591003,40.74232744,-73.95411749
W 21 St & 6 Ave,W 15 St & 7 Ave,2931,40.74173969,-73.99415556,40.73935542,-73.99931783
45 Ave & 21 St,46 Ave & 5 St,2924,40.74737075646803,-73.94777297973631,40.74731,-73.95451
Centre St & Worth St,Centre St & Chambers St,2924,40.71494807,-74.00234482,40.71273266,-74.0046073
